trace,real_steps,predicted_steps,error
5,5,4,-1
6,4,5,1
7,5,4,-1
8,4,4,0
10,5,5,0
11,5,5,0
12,5,5,0
20,5,6,1
22,5,5,0
24,3,4,1
25,4,4,0
27,5,5,0
30,5,4,-1
32,5,5,0
33,5,2,-3
34,5,5,0
35,5,5,0
40,4,6,2
41,3,4,1
42,5,4,-1
43,5,5,0
45,3,4,1
47,4,4,0
50,3,4,1
54,5,6,1
56,4,5,1
57,4,4,0
63,4,3,-1
75,5,3,-2
81,5,4,-1
85,4,4,0
86,5,5,0
90,3,4,1
92,4,4,0
95,4,4,0
96,4,4,0
98,4,5,1
100,3,3,0
105,4,4,0
107,4,3,-1
114,4,4,0
123,2,3,1
124,4,4,0
126,5,3,-2
127,4,3,-1
129,5,5,0
131,4,5,1
132,5,5,0
133,5,6,1
135,4,4,0
137,5,4,-1
143,5,6,1
148,4,5,1
159,5,4,-1
172,4,5,1
173,5,5,0
183,4,5,1
