trace,real_steps,predicted_steps,error
5,5,4,-1
6,4,5,1
7,5,5,0
8,4,5,1
10,5,5,0
11,5,5,0
12,5,7,2
20,5,6,1
22,5,6,1
24,3,4,1
25,4,3,-1
27,5,5,0
30,5,5,0
32,5,6,1
33,5,2,-3
34,5,6,1
35,5,6,1
40,4,9,5
41,3,5,2
42,5,4,-1
43,5,7,2
45,3,4,1
47,4,4,0
50,3,5,2
54,5,6,1
56,4,5,1
57,4,4,0
63,4,4,0
75,5,3,-2
81,5,5,0
85,4,5,1
86,5,6,1
90,3,5,2
92,4,6,2
95,4,4,0
96,4,4,0
98,4,6,2
100,3,4,1
105,4,5,1
107,4,4,0
114,4,4,0
123,2,3,1
124,4,6,2
126,5,5,0
127,4,3,-1
129,5,6,1
131,4,7,3
132,5,6,1
133,5,6,1
135,4,6,2
137,5,6,1
143,5,6,1
148,4,6,2
159,5,5,0
172,4,5,1
173,5,6,1
183,4,6,2
